0.54,3.98,0.92,0.91,0.74,5.35,2.42,1.35,2.13,5.08,2.48,0.91,0.63,0.66,0.79,0.46,0.75,2.75,1.55
0.77,5.13,0.3,1.54,2.07,3.75,1.45,2.43,1.88,4.47,2.33,1.08,0.43,0.42,0.82,1.23,0.21,1.94,0.66
1.05,5.52,0.47,0.53,1.34,3.38,1.58,1.02,1.89,4.94,2.86,1.01,0.71,0.76,0.7,0.72,2.13,2.19,2.07
0.55,4.36,0.57,1.05,1.22,3.55,1.43,0.62,2.57,4.59,2.03,0.92,0.57,0.54,0.89,0.96,0.19,1.82,0.67
0.36,4.11,0.5,0.8,1.17,4,2.02,0.81,2.25,5.1,2,0.81,0.93,0.57,0.95,0.41,1.18,2.9,1.5
0.57,6.17,0.78,0.97,1.35,3.21,2.93,2.79,1.65,5.7,1.71,1.02,0.59,0.63,0.86,0.58,1.24,3.22,1.75
0.3,4,0.52,1.3,1.22,3.97,2.01,2.34,1.92,5.45,1.95,1.06,0.67,0.84,0.8,0.63,0.57,2.8,1.78
0.38,3.85,0.69,0.88,0.79,6.3,1.75,0.88,2.42,4.62,2.01,1.09,0.69,0.43,0.8,0.87,0.93,2.17,1.79
0.65,4.19,0.76,0.76,2.11,3.74,2.22,1.23,1.47,4.44,2.4,1.04,0.46,0.59,0.66,0.47,0.3,2.77,1.64
0.01,3.96,0.98,0.65,2.1,4.79,1.76,1.45,2.67,4.66,2.22,0.97,0.71,0.52,0.87,0.43,0.42,2.62,1.79
0.68,5.07,0.65,0.57,2.42,2.93,2.83,5.42,2.11,7.71,1.81,1.11,0.63,0.59,0.82,0.71,2.4,1.75,1.86
0.77,5.38,0.88,1.31,1.68,3.81,2.86,0.92,2.66,4.65,2.66,0.88,0.71,0.41,0.86,0.56,0.52,1.7,0.75
1.2,5.14,0.51,1.14,1.93,3.46,1.67,0.81,3.57,4.84,2.67,0.56,0.9,0.65,0.75,0.72,0.96,2.19,0.6
1.73,5.52,0.59,0.98,1.22,4.12,1.83,2.86,2.29,5.37,2.51,0.79,0.52,0.56,0.84,0.49,1.14,2.62,1.6
0.6,3.98,1.21,0.29,1.22,3.84,2.36,1.83,1.78,5.24,2.37,1.01,0.46,0.53,0.83,0.57,1.68,2.5,1.6
0.4,4.29,0.63,1.09,1.02,6.32,0.92,0.8,2.95,4.56,2.05,0.99,0.67,0.43,0.83,0.88,0.61,2.35,1.37
0.78,5.86,0.35,0.81,1.26,3.83,3.64,3.36,2.45,5.02,1.67,1.14,0.36,0.64,0.83,0.39,1.35,1.73,0.63
0.29,3.68,0.98,1.1,1.65,4.79,2.18,1.26,2.02,5.05,2.41,1.32,0.36,0.59,0.83,0.63,1.03,3.51,0.52
0.68,5.66,0.55,1.04,2.24,3.91,1.57,3.7,1.84,4.3,2.33,1.08,0.41,0.66,0.81,0.5,1.3,1.96,1.37
0.47,3.99,0.53,1.2,1.76,3.61,1.43,0.82,2.17,5.14,2.2,0.71,0.9,0.46,0.84,0.66,0.6,3.56,0.44
0.87,5.44,0.61,1.01,1.45,3.96,5.51,0.69,1.99,5.11,2.29,1.18,0.49,0.64,0.79,0.53,0.96,1.74,1.37
0.22,4.04,0.24,0.87,3.06,3.69,1.48,0.94,2.65,4.12,2.05,1.04,0.55,0.35,0.96,0.47,0.83,1.94,1.36
0.77,5.38,0.88,1.14,1.85,3.81,2.09,0.4,1.68,4.94,2.38,0.94,0.7,0.62,0.89,0.49,1.11,2.35,2.16
0.76,5.89,0.31,0.8,2.63,3.41,0.93,0.44,1.95,4.84,2.2,0.92,0.59,0.67,0.85,0.47,0.88,2.96,1.83
1.06,5.13,0.92,0.51,1.42,3.04,1.9,2.22,1.93,5.5,2.2,1.18,0.37,0.69,0.79,0.64,1.47,2.94,2.18
0.72,5.49,0.47,1.26,2.42,3.16,0.74,0.51,3.78,4.59,1.99,1.15,0.44,0.53,0.85,0.47,0.74,2.43,1.95
1.08,5.52,0.62,0.47,1.99,4.68,2.2,1.07,3.44,4.41,3.11,1.25,0.4,0.71,0.79,0.27,1.52,3.57,1.89
1,5.14,0.62,0.85,1.93,3.86,2.14,0.93,1.56,4.35,2.42,0.8,0.72,0.45,0.91,0.73,0.78,1.66,1.92
0.76,6.36,0.8,0.22,1.79,3.27,2.06,1.87,3.62,4.81,2.33,1.4,0.26,0.52,0.9,0.76,0.31,2.52,1.92
0.34,4.31,0.51,0.78,1.88,4.45,2.17,1.54,2.61,4.6,2.17,0.6,1.1,0.78,0.79,0.79,0.58,1.92,1.31
1.21,5.38,0.6,0.58,1.41,4.5,1.69,0.87,2.89,5.34,2.14,1.16,0.41,0.66,0.82,0.47,0.36,2.99,1.35
0.75,5.29,0.58,0.84,1.14,3.21,2.59,0.78,2.31,4.76,3.39,0.63,0.78,0.34,0.9,0.87,0.81,1.8,1.83
0.76,5.89,0.57,1.18,1.99,3.41,1.23,2.09,2.44,4.83,2.32,0.95,0.42,0.3,0.87,0.47,0.32,1.75,1.79
1.08,5.61,0.76,0.31,2.17,3.45,2.42,2.37,2.14,4.45,2.39,1.1,0.57,0.49,0.85,0.28,0.62,2.42,0.67
0.71,4.21,0.55,1.06,0.95,3.65,2.49,1.85,1.64,3.59,1.83,1.4,0.55,0.75,0.85,0.37,0.9,3.79,0.67
0.36,4.11,0.65,0.86,0.96,4,2.22,1.44,2.83,4.64,2.83,1.14,0.46,0.58,0.91,0.37,1.35,1.99,1.93
0.02,3.63,1.55,0.83,2.27,2.92,3.05,5.08,4.29,3.67,1.47,1.02,3.52,2.48,0.95,0.79,3.02,2.79,0.63
0.24,4.09,0.63,0.32,1.14,3.35,1.44,2.58,6.31,4.87,2.65,1.23,0.23,0.55,0.83,0.44,1.6,1.86,2.06
0.6,3.98,1.21,0.55,0.95,3.84,2.73,3.15,2.21,4.62,2.52,0.66,0.82,0.73,0.81,0.53,0.68,1.92,2.06
0.26,3.99,0.96,0.4,1,4.82,2.16,3.91,2.34,4.92,2.12,0.64,1,0.6,0.84,0.62,0.87,1.86,2.13
0.4,3.94,0.37,1.39,1.12,3.73,1.75,1.59,1.53,5.47,2.09,0.93,0.51,0.5,0.84,0.21,0.74,1.79,2.06
0.19,4.11,0.68,1.24,0.41,3.94,4,0.95,2.42,5.04,2.32,1.11,0.41,0.74,0.89,0.82,0.84,2.5,0.72
0.34,4.31,0.76,0.88,1.52,4.45,2.56,1.53,2.88,4.8,2.08,0.92,0.66,0.27,0.85,0.62,0.48,1.7,2.06
0.77,5.18,0.8,0.68,2.33,3.26,1.81,2.07,2.35,5.43,2.28,1.13,0.42,0.65,0.85,0.66,0.48,2.1,2.14
0.71,4.21,0.55,0.58,1.43,3.65,2.11,1.45,2.01,4.57,2.07,0.96,0.71,0.89,0.85,0.56,0.83,2.06,2.07
1.06,5.27,0.76,1.15,0.92,3.97,1.23,3.34,2.88,4.99,2.33,1.1,0.42,0.68,0.83,0.62,0.66,3.26,1.01
0.72,4.18,0.57,1.41,0.86,3.55,1.74,0.72,2.51,4.6,2.33,1.03,0.47,0.41,0.84,0.62,0.55,1.79,1.65
0.78,4.35,0.44,0.59,2.44,3.7,1.89,0.69,2.29,4.3,2.74,0.95,0.62,0.76,0.86,0.42,0.48,3.37,1.61
0.77,5.13,0.55,1.58,1.78,3.75,1.82,2.44,2.02,4.53,2.32,1.08,0.41,0.43,0.89,0.25,1.12,2.5,0.72
0.65,4.19,0.76,1.13,1.73,3.74,2.62,1.15,2.06,4.76,2.6,1,1.73,0.61,0.9,0.48,0.33,2.32,0.74
0.74,5.46,0.78,0.97,2.41,3.73,1.25,1.17,2.65,4.27,2.07,0.88,0.64,0.38,0.8,0.51,0.95,2.24,0.88
0.3,4.01,0.79,0.59,1.31,4.02,1.86,0.62,5.16,4.44,2.04,1,0.39,0.69,0.91,0.67,0.7,3.63,1.6
0.94,5.32,0.65,0.95,1.55,3.41,1.93,1.11,2.12,5.09,2.11,0.98,0.46,0.58,0.85,0.68,1.11,3.23,1.2
0.94,5.32,0.65,0.95,1.55,3.41,2.34,2.99,1.96,4.32,2.33,1.18,0.41,0.47,0.81,0.65,0.99,2.42,0.88
0.69,5.72,0.48,0.7,2.88,3.89,1.43,1.54,2.03,4.88,1.9,0.92,0.58,0.36,0.84,0.42,0.2,1.99,0.97
0.38,4.3,0.56,0.53,1.47,3.76,0.89,2.28,1.98,4.66,2.25,1.15,0.55,0.41,0.87,0.37,1.02,2.61,0.69
0.27,3.9,0.82,1.02,1.3,3.63,1.64,1.64,1.97,4.48,2.67,0.92,0.57,0.44,0.87,0.44,0.89,2.57,0.69
0.32,4.25,0.98,1.13,0.43,4.44,2.51,2.05,5.16,4.2,1.87,1.26,0.3,0.83,0.89,0.75,0.35,3.59,1.6
1.08,5.61,0.76,0.71,1.77,3.45,2.74,2.72,3.14,4.11,1.95,0.87,0.42,0.56,0.79,0.6,0.89,1.86,0.91
0.27,3.9,0.82,1.24,1.08,3.63,1.99,0.74,2.07,5.52,2.27,1.02,0.51,0.44,0.84,0.65,0.45,2.87,0.66
0.84,5.83,0.6,0.9,2.38,3.82,3.75,1.6,2.05,4.4,2.24,1.02,0.6,0.32,0.88,0.67,0.13,2.81,0.91
1.07,4.96,0.62,0.59,1.73,3.55,2.89,1.64,2.37,5.25,2.37,0.74,0.71,0.52,0.89,0.73,0.91,3,0.81
0.47,4.28,0.59,1.28,0.36,3.75,2.95,2.17,2.01,4.82,2.21,0.92,0.77,0.54,0.82,0.49,0.42,2.78,0.66
0.74,5.42,0.47,0.7,1.98,3.11,0.87,0.41,2.38,4.73,2.55,0.95,0.56,0.39,0.87,0.5,0.97,2.72,0.91
1.11,5.23,0.32,1.39,1.36,3.51,2.82,0.75,2.15,4.47,2.91,0.97,0.59,0.34,0.9,0.74,0.96,2.6,0.88
0.77,5.18,0.8,0.76,2.25,3.26,2.19,1.85,2.49,4.35,2.43,1.13,0.55,0.38,0.83,0.81,1.18,3.94,0.88
0.47,3.8,0.54,0.97,1.35,3.23,2.88,0.89,2.32,4.61,1.81,1.05,0.38,0.35,0.91,0.7,0.18,2.6,0.59
0.76,5.61,0.63,1.65,1.3,3.5,3.75,1.39,1.85,4.36,2.79,0.77,0.68,0.57,0.85,0.49,0.79,2.56,0.6
1,5.14,0.37,0.94,2.09,3.86,1.61,1.18,2.65,5.42,2.18,1.15,0.52,0.34,0.98,0.64,0.51,2.97,0.85
0.34,4.16,0.78,0.92,0.82,4.46,2.95,1.78,4.91,4.26,2.61,1.29,0.45,0.47,0.82,0.78,0.52,2.92,1.87
0.85,5.02,1.16,0.51,1.58,3.74,1.67,4.09,2.76,4.95,2.58,0.76,0.86,0.57,0.82,0.07,1.36,2.66,0.69
0.71,6.22,0.8,0.79,1.63,4.74,2.32,1.44,5.2,4.93,2.83,1.07,0.47,0.6,0.73,2.03,0.67,2.3,0.86
0.83,5.25,0.56,0.87,2.45,3.34,1.86,2.19,1.87,6.94,0.54,0.78,0.66,0.57,0.79,0.5,1.04,2.92,1.88
0.22,4.04,0.43,1.94,1.8,3.69,1.77,1.49,3.01,5.19,2.6,0.79,0.78,0.32,0.88,0.79,0.48,2.51,0.41
0.78,4.35,0.65,0.53,2.3,3.7,2.29,1.17,2.61,4.55,2.59,0.68,0.99,0.44,0.85,1.8,0.92,2.06,0.89
0.31,3.98,0.82,0.73,0.94,3.23,1.85,1.1,2.52,3.99,2.34,1,0.63,0.38,0.85,0.55,0.49,2.13,0.89
1.1,5.39,0.74,0.57,3.54,4.23,2.03,1.47,2.46,3.36,2.59,0.91,0.45,0.42,0.86,0.42,0.63,1.86,0.75
0.38,4.3,0.56,0.83,1.16,3.76,1.26,2.02,1.88,5.67,1.97,0.85,0.38,0.42,0.9,0.72,0.81,2.4,1.27
0.52,4.02,0.34,1.56,1.27,3.47,3.31,0.99,2.27,4.35,2.7,1,0.55,0.46,0.86,0.3,0.49,2.34,1.27
1.1,4.75,0.92,0.94,2.73,3.26,0.62,1.84,2.14,4.37,2.02,1.08,0.35,0.37,0.96,0.42,0.73,2.63,1.86
0.74,5.5,0.63,0.27,2.71,3.17,1.99,1.14,2.01,3.76,2.23,0.65,1.08,0.37,0.88,0.41,0.66,2.46,0.84
0.47,4.28,0.44,0.9,0.89,3.75,2.47,0.94,1.97,4.97,2.54,1.04,0.36,0.66,0.84,0.91,0.95,2.63,1.87
0.74,5.47,0.65,0.88,1.5,3.71,2.99,0.49,1.87,4.7,2.63,1.08,0.47,0.59,0.82,0.74,0.49,2.99,0.63
0.38,3.99,0.57,1.59,1.03,3.52,3.26,0.95,1.96,3.75,2.45,0.87,0.68,0.44,0.9,0.57,1.03,2.3,0.52
0.76,6.36,0.8,0.82,1.23,3.24,2.37,3.89,2.12,4.99,2.6,1.06,1.58,0.5,0.82,0.4,0.59,2.25,2.29
1,5.4,0.66,0.9,2.58,3.66,3.16,1.16,1.8,4.87,1.85,0.89,0.57,0.4,0.85,0.41,0.76,2.29,2.29
1.21,5.38,0.7,0.72,1.18,4.5,2.09,1.09,1.99,5.29,2.53,1.15,0.41,0.64,0.85,0.84,0.96,2.24,3.07
